easting,northing,elev,conductivity
805772.3,7026566.5,407.8,6.7069100000000015
805772.3,7026566.5,392.0,7.122510000000001
805772.3,7026566.5,374.0,7.5987800000000005
805772.3,7026566.5,353.5,7.92393
805772.3,7026566.5,330.2,10.91346
805772.3,7026566.5,303.7,18.882179999999998
805772.3,7026566.5,273.6,39.30818
805772.3,7026566.5,239.3,86.73026999999998
805772.3,7026566.5,200.3,153.04561
805772.3,7026566.5,155.9,174.36792
805772.3,7026566.5,105.4,183.04961
805772.3,7026566.5,47.9,
805772.3,7026566.5,-17.5,
805772.3,7026566.5,-92.0,
805771.3,7026600.9,508.0,44.48399000000001
805771.3,7026600.9,506.0,46.55493
805771.3,7026600.9,503.7,52.79831
805771.3,7026600.9,501.1,63.694269999999996
805771.3,7026600.9,498.2,77.82101
805771.3,7026600.9,494.8,88.33922
805771.3,7026600.9,491.0,89.20607
805771.3,7026600.9,486.7,87.0322
805771.3,7026600.9,481.8,96.43202
805771.3,7026600.9,476.2,135.4463
805771.3,7026600.9,469.8,192.19681
805771.3,7026600.9,462.5,128.33676
805771.3,7026600.9,454.2,47.03669
805771.3,7026600.9,444.8,18.08318
805771.3,7026600.9,434.1,9.250689999999999
805771.3,7026600.9,421.9,6.4892900000000004
805771.3,7026600.9,408.0,5.98086
805771.3,7026600.9,392.2,7.08215
805771.3,7026600.9,374.2,6.7888699999999975
805771.3,7026600.9,353.7,7.6746
805771.3,7026600.9,330.4,11.06684
805771.3,7026600.9,303.9,20.09243
805771.3,7026600.9,273.8,44.56328
805771.3,7026600.9,239.5,105.08617
805771.3,7026600.9,200.5,181.09381000000002
805771.3,7026600.9,156.1,197.55038000000002
805771.3,7026600.9,105.6,185.2538
805771.3,7026600.9,48.1,
805771.3,7026600.9,-17.3,
805771.3,7026600.9,-91.8,
805769.1,7026635.3,508.0,52.02914000000001
805769.1,7026635.3,506.0,53.87931
805769.1,7026635.3,503.7,59.1716
805769.1,7026635.3,501.1,68.07352
805769.1,7026635.3,498.2,79.30214000000002
805769.1,7026635.3,494.8,87.33624
805769.1,7026635.3,491.0,87.48906
805769.1,7026635.3,486.7,85.83691
805769.1,7026635.3,481.8,98.61933
805769.1,7026635.3,476.2,149.20918999999995
805769.1,7026635.3,469.8,212.85653
805769.1,7026635.3,462.5,112.48593999999999
805769.1,7026635.3,454.2,37.29952
805769.1,7026635.3,444.8,14.51379
805769.1,7026635.3,434.1,7.6864
805769.1,7026635.3,421.9,5.6689300000000005
805769.1,7026635.3,408.0,5.30504
805769.1,7026635.3,392.2,6.23441
805769.1,7026635.3,374.2,6.10128
805769.1,7026635.3,353.7,7.235889999999999
805769.1,7026635.3,330.4,10.756160000000001
805769.1,7026635.3,303.9,20.1491
805769.1,7026635.3,273.8,47.12535
805769.1,7026635.3,239.5,121.62491000000001
805769.1,7026635.3,200.5,218.67483
805769.1,7026635.3,156.1,246.79171000000002
805769.1,7026635.3,105.6,
805769.1,7026635.3,48.1,
805769.1,7026635.3,-17.3,
805769.1,7026635.3,-91.8,
805766.2,7026669.4,508.2,58.54801
805766.2,7026669.4,506.2,59.737159999999996
805766.2,7026669.4,503.9,63.45178000000001
805766.2,7026669.4,501.3,70.17544000000001
805766.2,7026669.4,498.4,79.68127
805766.2,7026669.4,495.0,87.87346
805766.2,7026669.4,491.2,87.95075
805766.2,7026669.4,486.9,84.10429
805766.2,7026669.4,482.0,94.60738
805766.2,7026669.4,476.4,147.16703
805766.2,7026669.4,470.0,230.09663999999998
805766.2,7026669.4,462.7,113.21181999999999
805766.2,7026669.4,454.4,34.258309999999994
805766.2,7026669.4,445.0,13.042910000000001
805766.2,7026669.4,434.3,6.9735
805766.2,7026669.4,422.1,5.2687
805766.2,7026669.4,408.2,5.0
805766.2,7026669.4,392.4,5.58659
805766.2,7026669.4,374.4,5.71429
805766.2,7026669.4,353.9,6.91085
805766.2,7026669.4,330.6,10.35411
805766.2,7026669.4,304.1,19.5122
805766.2,7026669.4,274.0,46.59832
805766.2,7026669.4,239.7,128.56776000000002
805766.2,7026669.4,200.7,246.85262999999998
805766.2,7026669.4,156.3,273.22404
805766.2,7026669.4,105.8,
805766.2,7026669.4,48.3,
805766.2,7026669.4,-17.1,
805766.2,7026669.4,-91.6,
805763.0,7026703.3,508.2,62.73526
805763.0,7026703.3,506.2,63.371359999999996
805763.0,7026703.3,503.9,65.48788
805763.0,7026703.3,501.3,70.57163
805763.0,7026703.3,498.4,80.0
805763.0,7026703.3,495.0,90.82652
805763.0,7026703.3,491.2,91.57509
805763.0,7026703.3,486.9,83.33333
805763.0,7026703.3,482.0,87.41259000000002
805763.0,7026703.3,476.4,131.92612
805763.0,7026703.3,470.0,235.57126
805763.0,7026703.3,462.7,129.66805
805763.0,7026703.3,454.4,36.20565
805763.0,7026703.3,445.0,13.17176
805763.0,7026703.3,434.3,6.9637899999999995
805763.0,7026703.3,422.1,5.29101
805763.0,7026703.3,408.2,5.14403
805763.0,7026703.3,392.4,5.5959699999999994
805763.0,7026703.3,374.4,5.66251
805763.0,7026703.3,353.9,6.7981
805763.0,7026703.3,330.6,10.0553
805763.0,7026703.3,304.1,18.5701
805763.0,7026703.3,274.0,43.2526
805763.0,7026703.3,239.7,118.41326000000001
805763.0,7026703.3,200.7,246.54832000000002
805763.0,7026703.3,156.3,274.12281
805763.0,7026703.3,105.8,
805763.0,7026703.3,48.3,
805763.0,7026703.3,-17.1,
805763.0,7026703.3,-91.6,
